;appid;required_age;is_free;controller_support;dlc;metacritic;metacritic_tf;windows;mac;linux;platforms_num;recommendations;achievements;release_date;days_after_release
0;294100;0.0;0.0;0;6.0;87.0;1;1.0;1.0;1.0;3.0;134967.0;0.0;2018-10-17;1675.0
1;960090;0.0;0.0;0;1.0;;0;1.0;1.0;0.0;2.0;222889.0;146.0;2018-12-18;1613.0
2;504230;0.0;0.0;1;1.0;88.0;1;1.0;1.0;1.0;3.0;66397.0;32.0;2018-01-25;1940.0
3;588650;0.0;0.0;1;7.0;89.0;1;1.0;1.0;1.0;3.0;113184.0;121.0;2018-08-06;1747.0
4;264710;0.0;0.0;1;1.0;87.0;1;1.0;1.0;0.0;2.0;208334.0;17.0;2018-01-24;1941.0
5;519860;0.0;0.0;1;2.0;88.0;1;1.0;1.0;1.0;3.0;16289.0;30.0;2018-12-10;1621.0
6;531510;0.0;0.0;1;1.0;;0;1.0;1.0;1.0;3.0;15512.0;26.0;2018-05-31;1814.0
7;683320;0.0;0.0;1;1.0;84.0;1;1.0;1.0;0.0;2.0;54799.0;17.0;2018-12-13;1618.0
8;432350;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;4275.0;133.0;2018-11-30;1631.0
9;629730;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;39518.0;0.0;2018-12-11;1620.0
10;617670;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;11204.0;800.0;2018-11-15;1646.0
11;644560;0.0;;0;0.0;;0;;;;;0.0;0.0;2018-04-19;1856.0
12;242760;18.0;False;0;0.0;83.0;1;1.0;0.0;0.0;1.0;406817.0;45.0;2018-04-30;1845.0
13;653530;0.0;False;1;1.0;89.0;1;1.0;1.0;0.0;2.0;18928.0;16.0;2018-10-18;1674.0
14;909080;0.0;True;0;1.0;;0;1.0;1.0;0.0;2.0;901.0;28.0;2018-09-20;1702.0
15;844930;0.0;False;0;2.0;;0;1.0;1.0;0.0;2.0;4260.0;8.0;2018-05-24;1821.0
16;871720;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2018-06-27;1787.0
17;638970;18.0;False;1;0.0;86.0;1;1.0;0.0;0.0;1.0;47155.0;55.0;2018-08-01;1752.0
18;899970;0.0;False;0;3.0;;0;1.0;0.0;0.0;1.0;3048.0;13.0;2018-07-27;1757.0
